corticosteroids	leukotriene	[prep_on, pathway, amod]	1.0
aminopterin	tangier	[prep_to, resistant, xcomp, allowed, nsubj, transfection, prep_of, cells, prep_with, vector, partmod, containing, dobj, gene, nn]	1.0
il-11	il-18	[appos, pdgfa, appos]	1.0
il-11	il-17	[dep, ratio, nn]	1.0
tolbutamide	niddm	[prep_in, patients, prep_with]	1.0
budesonide	galectin-7	[nsubj, modulates, dobj, expression, amod]	1.0
budesonide	galectin-7	[nsubj, affect, dobj, expression, amod]	1.0
collagenase	cartilage-derived	[nn, inhibitor, amod]	1.0
pge2	pgd2	[advcl, had, nsubj]	1.0
pge2	pgd2	[appos, aa, appos]	1.0
pge2	pgd2	[nsubj, had, advcl, inhibited, nsubj]	1.0
pge2	pgd2	[amod, analog, appos]	1.0
pge2	pgd2	[nn, alpha, nn]	1.0
pge2	pgd2	[dep, alpha, dep]	1.0
pge2	pgd2	[appos, alpha, appos]	1.0
pge2	pgd2	[prep_to, reduced, nsubj]	1.0
pge2	pgd2	[partmod, followed, agent]	1.0
pge2	pgd2	[num, alpha, num]	1.0
pge2	pgd2	[dep, aa, dep, rose, prep_with]	1.0
pge2	pgd2	[nsubj, inhibit, dep]	1.0
pge2	pgd2	[prep_than, potent, nsubj]	1.0
pge2	pgd2	[nn, alpha, appos]	1.0
pge2	pgd2	[appos, alpha, nn]	1.0
pge2	pgd2	[dep, alpha, amod]	1.0
pge2	pgd2	[nn, alpha, dep]	1.0
losartan	urat1	[prep_on, level, prep_of, mrna, nn]	1.0
losartan	urat1	[nsubj, exhibited, prep_by]	1.0
losartan	urat1	[nsubj, inhibited, dobj]	1.0
aldosterone	bmp-6	[nsubj, decreased, dobj, expression, nn]	1.0
aldosterone	bmp-6	[amod, production, dobj, increases, nsubj]	1.0
il-11	il-27	[nn, m, appos]	1.0
metformin	kcnq1	[pobj, genotypes, num]	1.0
tamoxifen	af-1	[nsubj, allows, dobj, activity, nn]	1.0
forskolin	sf-1	[prep_on, level, prep_of, mrna, nn]	1.0
forskolin	sf-1	[nsubj, increased, dobj, expression, prep_of]	1.0
forskolin	sf-1	[prep_with, treated, partmod, cells, prep_in, interacted, prep_with]	1.0
forskolin	sf-1	[amod, levels, nn]	1.0
fluorescein	p-gp	[nn, isothiocyanate, dobj, using, xcomp, measured, nsubjpass, expression, prep_of]	1.0
melatonin	p130	[nsubj, upregulates, dobj, expression, prep_of]	1.0
everolimus	egfr	[partmod, designed, xcomp, test, dobj, inhibition, prep_of, target, prep_of, rapamycin, appos]	1.0
nadh	nad1	[amod, gene, appos]	1.0
nadh	nad1	[nn, dehydrogenase, appos]	1.0
nadh	nad2	[nn, dehydrogenase, appos]	1.0
nadh	nad3	[nn, dehydrogenase, appos]	1.0
nadh	nad3	[nn, gene, nn]	1.0
mitoxantrone	abcg2	[amod, protein, dep]	1.0
mitoxantrone	abcg2	[nsubj, extrudes, nn]	1.0
mitoxantrone	abcg2	[prep_in, cells, partmod, expressing, dobj]	1.0
mitoxantrone	abcg2	[appos, substrate, amod]	1.0
mitoxantrone	abcg2	[prep_of, uptake, nsubjpass, mediated, agent]	1.0
mitoxantrone	abcg2	[amod, protein, appos]	1.0
mitoxantrone	abcg2	[prep_including, substrates, nn]	1.0
mitoxantrone	abcg2	[prep_including, substrates, prep_of]	1.0
mitoxantrone	abcg2	[appos, substrate, nn]	1.0
mitoxantrone	abcg2	[infmod, expression, prep_of]	1.0
mitoxantrone	abcg2	[prep_for, exhibited, nsubj]	1.0
mitoxantrone	abcg2	[prep_such_as, substrates, prep_of]	1.0
mitoxantrone	abcg2	[appos, substrates, amod]	1.0
nadh	nad4	[nn, dehydrogenase, appos]	1.0
nadh	nad4	[amod, i, appos]	1.0
nadh	nad4	[nn, gene, appos]	1.0
brompheniramine	herg	[nsubj, inhibited, xcomp]	1.0
pge2	pges	[appos, activity, nn]	1.0
pge2	pges	[amod, synthase, appos]	1.0
pge2	pges	[amod, production, prep_to, contributes, nsubj]	1.0
pge2	pges	[prep_to, catalyzes, nsubj, synthase, appos]	1.0
pge2	pges	[num, synthase, appos]	1.0
pgi2	pgis	[amod, synthase, appos]	1.0
pgi2	pgis	[appos, synthase, appos]	1.0
pgi2	pgis	[num, synthase, dep]	1.0
pgi2	pgis	[nn, synthesis, prep_of, catalyst, appos, synthase, appos]	1.0
pgi2	pgis	[nn, function, nsubj, depends, prep_on, alleles, prep_of, gene, nn]	1.0
pgi2	pgis	[nn, synthase, appos]	1.0
pgi2	pgis	[prep_to, catalyzes, nsubj, synthase, appos]	1.0
pgi2	pgis	[num, synthase, appos]	1.0
tamoxifen	ptpro	[prep_with, treatment, nsubj, increased, dobj, expression, nn]	1.0
tamoxifen	ptpro	[prep_on, expression, nn]	1.0
pitavastatin	nf-kappab	[nsubj, reduced, dobj, activity, prep_of]	1.0
pitavastatin	nf-kappab	[nsubj, inhibited, dobj, activation, prep_of]	1.0
pitavastatin	nf-kappab	[prep_on, activation, amod]	1.0
pitavastatin	nf-kappab	[prep_of, effect, dobj, investigated, prep_on, activation, amod]	1.0
pitavastatin	nf-kappab	[nsubj, decreased, dobj, activity, prep_of]	1.0
pitavastatin	nf-kappab	[prep_of, activity, amod]	1.0
pitavastatin	nf-kappab	[nsubj, inhibits, dobj, activation, amod]	1.0
pitavastatin	nf-kappab	[prep_of, effect, dobj, examined, prep_on]	1.0
naproxen	il-1	[prep_on, concentration, prep_of]	1.0
sevoflurane	cd36	[nsubj, decreased, dobj]	1.0
sevoflurane	ap-1	[nsubj, inhibited, dobj, activation, prep_of]	1.0
sevoflurane	ap-1	[nsubj, inhibitor, prep_of]	1.0
cyclosporin	bcrp	[nn, a, nsubj, modulates, dobj]	1.0
isotretinoin	mmp-13	[nsubj, inhibited, prep_of]	1.0
bleomycin	polq	[prep_than, cells, amod]	1.0
bleomycin	polq	[xsubj, cells, amod]	1.0
pge2	roat1	[nsubj, abolish, prep_by]	1.0
sulfasalazine	spla2	[nsubj, inhibited, dobj, release, prep_of]	1.0
topotecan	vegf	[agent, reduced, nsubjpass, levels, amod]	1.0
noradrenaline	endothelin-1	[prep_in, reduction, nsubj, observed, advcl, observed, nsubj, reduction, prep_in, formation, amod]	1.0
noradrenaline	endothelin-1	[prep_to, potentiated, nsubj]	1.0
noradrenaline	endothelin-1	[prep_to, responses, amod]	1.0
noradrenaline	endothelin-1	[dep, bradykinin, dep]	1.0
noradrenaline	endothelin-1	[prep_than, potent, nsubj]	1.0
noradrenaline	endothelin-1	[prep_of, release, dobj, stimulated, nsubj]	1.0
melatonin	p100	[nsubj, inhibited, prepc_without, affecting, dobj, expression, amod]	1.0
warfarin	ml-1	[nn, concentrations, nsubj]	1.0
arsenite	parp	[amod, decreases, nsubj]	1.0
arsenite	parp	[prep_on, activity, nn]	1.0
topotecan	dlts	[prep_of, toxicities, appos]	1.0
estradiol	cxcl11	[nsubj, induces, dobj, expression, prep_of]	1.0
suramin	vegf	[agent, inhibited, nsubjpass, action, prep_of]	1.0
suramin	vegf	[agent, affected, nsubjpass]	1.0
staurosporine	hsp27	[prep_to, conferred, nsubj]	1.0
staurosporine	hsp27	[agent, reduced, nsubjpass]	1.0
prostacyclin	ml-1	[prep_of, addition, appos]	1.0
prostacyclin	ml-1	[nn, analogs, dep]	1.0
promethazine	herg	[nsubj, blocker, prep_of, channels, amod]	1.0
promethazine	herg	[prep_of, administration, prep_during, providing, partmod, blocker, prep_of, channels, amod]	1.0
promethazine	herg	[prep_of, effects, dobj, investigated, prepc_on]	1.0
promethazine	herg	[prep_of, effects, dobj, examined, prep_on, channels, amod]	1.0
promethazine	herg	[prep_of, effects, dobj, investigated, advcl, one, nsubj, block, prep_of, channels, nn]	1.0
valsartan	vegf	[nsubj, affect, dobj, levels, nn]	1.0
n-acetylcysteine	hif-1alpha	[nsubj, abolished, dobj, induction, prep_of]	1.0
n-acetylcysteine	hif-1alpha	[nsubj, reduced, iobj]	1.0
tamoxifen	brca1	[dobj, received, prep_of, patients, prep_with, mutations, num]	1.0
tamoxifen	brca1	[prep_in, carriers, nn]	1.0
hydroxyurea	cdc2	[nsubj, induced, dobj, phosphorylation, amod]	1.0
tamoxifen	brca2	[dobj, received, prep_of, patients, prep_with, mutations, num]	1.0
nutlin-3	hif-1	[nsubj, inhibits, acomp]	1.0
hydroxyurea	cdc7	[nn, genes, amod]	1.0
glucosamine	o-glcnacase	[dep, inhibitor, prep_of]	1.0
minocycline	osteocalcin	[nsubj, had, dobj, effect, prep_on, expression, prep_of]	1.0
pge2	pga1	[amod, alpha, dep]	1.0
pge2	pga1	[appos, alpha, nn]	1.0
alendronate	icer	[nn, therapy, prep_for]	1.0
deoxyadenosine	mononucleotide	[dep, monophosphate, amod]	1.0
cisplatin	ghrl	[amod, treatment, prep_on, expression, prep_of]	1.0
nadh	dt-diaphorase	[nn, reductase, dep]	1.0
etoposide	adam10	[nsubj, upregulates, dobj, mrna, nn]	1.0
etoposide	adam10	[nsubj, induces, dobj, upregulation, prep_of]	1.0
bleomycin	syndecan-4	[nn, treatment, nsubj, increased, dobj, expression, amod]	1.0
epirubicin	udp-glucuronosyltransferase	[nn, glucuronide, prep_by]	1.0
glimepiride	drip205	[nsubj, enhanced, dobj, recruitment, prep_of]	1.0
clenbuterol	beta3	[appos, agonist, amod]	1.0
clenbuterol	beta2	[appos, agonist, amod]	1.0
clenbuterol	beta2	[amod, effects, prep_of, agonists, amod]	1.0
clenbuterol	beta2	[nsubj, bronchodilator, amod]	1.0
rosiglitazone	pepck	[nsubj, induces, dobj, expression, amod]	1.0
baclofen	proenkephalin	[nsubj, increased, dobj, expression, prep_of, gene, nn]	1.0
enalapril	icam-1	[nsubj, had, dobj, effect, prep_on, levels, nn]	1.0
doxazosin	alpha1	[appos, antagonist, amod]	1.0
doxazosin	alpha1	[appos, blocker, amod]	1.0
cyclosporin	cox-2	[prep_with, expression, nn]	1.0
propofol	beta-endorphin	[nsubj, inhibited, dobj, secretion, prep_of]	1.0
n-acetylcysteine	mst1	[nsubj, inhibited, dobj, activation, prep_of]	1.0
sevoflurane	cd31	[amod, preconditioning, prep_after, determined, nsubjpass, levels, appos]	1.0
dexamethasone	atrogin-1	[amod, treatment, nsubj, increased, dobj, expression, amod]	1.0
dexamethasone	atrogin-1	[nsubj, increased, dobj]	1.0
dexamethasone	atrogin-1	[nsubj, increased, dobj, expression, amod]	1.0
dexamethasone	atrogin-1	[amod, administration, nsubj, increased, dobj, level, nn]	1.0
dexamethasone	atrogin-1	[amod, increases, prep_in, expression, amod]	1.0
rosuvastatin	ho-1	[prep_of, site, nsubj]	1.0
rosuvastatin	ho-1	[nsubj, increased, dobj, mrna, nn]	1.0
rosuvastatin	ho-1	[prep_by, induction, nn]	1.0
halothane	herg	[nsubj, decreased, xcomp]	1.0
halothane	herg	[nsubj, inhibits, xcomp]	1.0
resveratrol	atf3	[amod, expression, nn]	1.0
resveratrol	atf3	[nsubj, induces, dobj, expression, amod]	1.0
indomethacin	crth2	[prep_with, treatment, nsubj, reduced, dobj, expression, nn]	1.0
indomethacin	crth2	[prep_of, effects, dobj, investigated, prep_on, expression, amod]	1.0
indomethacin	crth2	[agent, activated, nsubjpass]	1.0
cloxacillin	clox	[amod, complexes, appos]	1.0
irap	gga1	[dobj, prevented, nsubj, knockdown, prep_of]	1.0
carbachol	ins-1	[prep_in, cells, nn]	1.0
aprotinin	tfpi	[prep_to, homologous, nsubj]	1.0
atra	pedf	[agent, increased, nsubjpass]	1.0
fenamates	icat	[prep_on, current, appos]	1.0
dexamethasone	igf-ii	[nsubj, alter, dobj, secretion, amod]	1.0
camptothecin	trex1	[nsubj, induced, dobj, protein, amod]	1.0
epirubicin	filgrastim	[prep_with, support, nn]	1.0
thyroxine	dheas	[appos, thyrotropin, appos]	1.0
modafinil	orexin	[nsubj, increased, prep_in, mice, amod]	1.0
ketanserin	herg	[nsubj, blocked, xcomp]	1.0
pge2	tlr4	[amod, supplementation, prep_of]	1.0
bisphosphonates	ppiase	[nsubj, inhibited, prep_than, activity, nn]	1.0
coumarin	cyp3a4	[appos, testosterone, dep, catalysed, prep_by]	1.0
coumarin	cyp3a4	[nsubjpass, metabolized, agent]	1.0
il-2	il2r	[nn, receptor, appos]	1.0
il-2	il2r	[nn, gene, appos]	1.0
il-2	il2r	[nn, receptors, appos]	1.0
naloxone	nocistatin	[xsubj, antagonize, dobj, effects, prep_of]	1.0
doxycycline	slc26a4	[prep_with, induced, nsubjpass, expression, amod]	1.0
colchicine	etanercept	[xcomp, resistant, amod, cases, prep_in, report, dobj, treatment, prep_of, therapy, appos]	1.0
atra	restin	[prep_by, define, dobj, regulation, prep_of]	1.0
paclitaxel	trpa1	[amod, treatment, prep_of]	1.0
paclitaxel	trpa1	[nsubj, targets, dobj]	1.0
fosinopril	aquaporin-1	[prep_of, effect, dobj, investigated, prep_on, expression, prep_of]	1.0
ng-monomethyl-l-arginine	inos	[appos, inhibitor, prep_for]	1.0
ng-monomethyl-l-arginine	inos	[appos, inhibitor, prep_of]	1.0
ng-monomethyl-l-arginine	inos	[appos, inhibitor, amod]	1.0
ng-monomethyl-l-arginine	inos	[nn, synthase, appos]	1.0
rapamycin	cxcl12	[nsubj, inhibited, dobj, secretion, prep_of]	1.0
rapamycin	cxcl12	[xsubj, cells, partmod, expressing, dobj, levels, prep_of]	1.0
flunitrazepam	dheas	[dobj, affect, nsubj]	1.0
busulfan	caf1	[prep_in, mice, num]	1.0
il-1ra	il-1rn	[amod, polymorphism, appos]	1.0
il-1ra	il-1rn	[nn, gene, appos]	1.0
il-1ra	il-1rn	[nn, production, prep_on]	1.0
il-1rn	il-1ra	[appos, polymorphism, amod]	1.0
il-1rn	il-1ra	[appos, gene, nn]	1.0
il-1rn	il-1ra	[prep_on, production, nn]	1.0
il-11	cd62l	[appos, pdgfa, appos]	1.0
estradiol	tebg	[prep_for, affinity, dobj, had, nsubj]	1.0
estradiol	tebg	[nn, globulin, appos]	1.0
estradiol	tebg	[prep_of, the, appos]	1.0
clarithromycin	il-13	[dep, plus, prep]	1.0
capsaicin	cyclooxygenase-2	[prep_in, expression, amod]	1.0
capsaicin	cyclooxygenase-2	[partmod, induced, dobj, expression, amod]	1.0
capsaicin	cyclooxygenase-2	[nsubj, inhibited, dobj, expression, prep_of]	1.0
estradiol	eag1	[nsubj, regulated, dobj]	1.0
levofloxacin	cyp1a2	[agent, related, prep_to, inhibition, prep_of]	1.0
pilocarpine	znt3	[amod, treatment, prep_after]	1.0
cyclosporine	hif-1alpha	[prep_of, effects, dobj, investigated, prep_on, expression, nn]	1.0
octreotide	adrenocorticotropin	[prep_on, secretion, amod]	1.0
l-dopa	ghrh	[prep_to, respond, nsubj]	1.0
triiodothyronine	mgpdh	[agent, induced, partmod, activity, amod]	1.0
norepinephrine	gnrh	[nn, stimulates, nsubj]	1.0
norepinephrine	gnrh	[amod, hormone, appos]	1.0
norepinephrine	gnrh	[nsubj, stimulated, dobj, release, amod]	1.0
norepinephrine	gnrh	[prep_on, hormone, appos]	1.0
norepinephrine	gnrh	[agent, evoked, partmod]	1.0
norepinephrine	gnrh	[nsubj, stimulate, dobj, release, amod]	1.0
norepinephrine	gnrh	[agent, stimulated, nsubjpass, secretion, prep_of]	1.0
methoxamine	enos	[dep, overexpression, prep_of]	1.0
pgi2	pga1	[appos, alpha, nn]	1.0
atorvastatin	klf2	[nsubj, upregulated, dobj, expression, amod]	1.0
protamine	fa-1	[appos, antigen, appos]	1.0
hydrocortisone	brca1	[agent, involved, prep_in, regulation, amod]	1.0
calcidiol	osteocalcin	[dep, ca, dep]	1.0
progestogens	gnrh	[appos, analogs, nn]	1.0
progestogens	gnrh	[appos, oestroprogestogens, dep, implants, dobj, resolve, xcomp, used, partmod, drugs, prep_from, selected, partmod, authors, appos, literature, prep_in, reported, ccomp, reviewed, partmod, known, nsubj, analog, amod]	1.0
progestogens	gnrh	[appos, analog, amod]	1.0
progestogens	gnrh	[appos, oestroprogestogens, appos, analogs, amod]	1.0
etanercept	cgrp	[appos, inhibitor, prep_on, expression, appos]	1.0
etanercept	cgrp	[nsubj, affect, dobj, expression, nn]	1.0
minocycline	cd16	[amod, treatment, nsubj, reduced, dobj, expression, nn]	1.0
minocycline	cd16	[amod, treatment, nsubj, reduced, dobj, expression, prep_on, monocytes, nn]	1.0
minocycline	cd14	[amod, treatment, nsubj, reduced, dobj, expression, prep_on, monocytes, nn]	1.0
mirtazapine	bdnf	[amod, treatment, prep_after]	1.0
topiramate	cgrp	[nsubj, inhibited, ccomp]	1.0
topiramate	cgrp	[amod, peptide, appos]	1.0
topiramate	cgrp	[nsubj, alter, dobj, amount, prep_of]	1.0
topiramate	cgrp	[prep_by, release, nn]	1.0
naringenin	rankl	[nsubjpass, tested, prep_in, model, partmod, using, dobj, cells, partmod, activated, agent, activator, prep_of, ligand, appos]	1.0
lapatinib	her1	[appos, inhibitor, nn]	1.0
lapatinib	her1	[appos, inhibitor, prep_of]	1.0
lapatinib	her1	[xsubj, treat, dobj]	1.0
lapatinib	her1	[nsubj, inhibitor, prep_of]	1.0
lapatinib	her1	[agent, inhibited, nsubjpass]	1.0
lapatinib	her1	[appos, inhibitor, prep_against]	1.0
lapatinib	her2	[dobj, inhibitors, nsubj]	1.0
lapatinib	her2	[appos, inhibitor, prep_of, receptors, nn]	1.0
lapatinib	her2	[nsubj, inhibited, dobj, phosphorylation, prep_of]	1.0
lapatinib	her2	[nsubj, inhibitor, prep_of, activity, prep_of, receptor, appos]	1.0
lapatinib	her2	[prep_in, cells, num]	1.0
lapatinib	her2	[nsubj, induced, dobj, expression, amod]	1.0
lapatinib	her2	[prep_with, kinase, amod]	1.0
lapatinib	her2	[nsubj, increased, dobj, levels, prep_of]	1.0
lapatinib	her2	[appos, inhibitor, prep_of, receptor, appos]	1.0
lapatinib	her2	[appos, inhibitor, prep_of]	1.0
lapatinib	her2	[nsubj, inhibitor, rcmod, targets, dobj]	1.0
lapatinib	her2	[appos, inhibitor, num]	1.0
lapatinib	her2	[nsubj, inhibitor, prep_of]	1.0
lapatinib	her2	[advmod, shown, nsubj, inhibitor, prep_against, receptor, appos]	1.0
lapatinib	her2	[appos, inhibitor, amod]	1.0
lapatinib	her2	[prep_of, levels, nn]	1.0
lapatinib	her2	[prep_such_as, inhibitors, num]	1.0
lapatinib	her2	[prep_to, resistant, nsubj, cells, nn]	1.0
lapatinib	her2	[nsubj, inhibited, dobj, phosphorylation, amod]	1.0
lapatinib	her3	[prep_to, sensitized, nsubj, inhibition, prep_of]	1.0
spermine	etbr	[nsubj, induced, advcl, induced, nsubj]	1.0
sulfasalazine	gm-csf	[nsubj, inhibited, prep_for]	1.0
eplerenone	at1r	[prep_of, infusion, nsubj, decreased, dobj, expression, nn]	1.0
tranylcypromine	cyp2a6	[nsubj, inhibitor, nn]	1.0
tranylcypromine	cyp2a6	[appos, effects, appos, inhibitor, nn]	1.0
pge2	il-13	[dobj, decreased, nsubj]	1.0
pge2	il-13	[amod, production, dobj, inhibit, xsubj]	1.0
pge2	il-13	[amod, production, dobj, inhibited, nsubj]	1.0
pge2	il-13	[nn, production, dobj, inhibited, nsubj]	1.0
pge2	il-15	[agent, inhibited, nsubjpass, production, nn]	1.0
pge2	il-15	[prep_on, production, nn]	1.0
pge2	il-10	[nsubj, augmented, dobj, production, nn]	1.0
pge2	il-10	[nsubj, induced, dobj, production, nn]	1.0
pge2	il-10	[nsubj, induced, dobj, mrna, nn]	1.0
pge2	il-10	[amod, production, dobj, inhibit, xsubj]	1.0
pge2	il-10	[prep_of, levels, appos]	1.0
pge2	il-10	[prep_to, response, nn]	1.0
pge2	il-10	[prep_of, effect, dobj, determined, prep_on, expression, nn]	1.0
pge2	il-10	[prep_to, response, prep_in]	1.0
pge2	il-10	[prep_of, effect, nsubj, independent, prep_of]	1.0
