cetuximab	egfr	[appos, antibody, partmod, directed, prep_against]	1.0
cetuximab	egfr	[nsubj, antibody, partmod, directed, prep_against]	1.0
cetuximab	egfr	[nsubj, receptor, appos]	1.0
cetuximab	egfr	[appos, blocker, amod]	1.0
cetuximab	egfr	[amod, inhibitors, appos]	1.0
cetuximab	egfr	[rcmod, binds, prep_to]	1.0
cetuximab	egfr	[appos, inhibitor, prep_of, receptor, appos]	1.0
cetuximab	egfr	[amod, receptor, appos]	1.0
cetuximab	egfr	[amod, binds, prep_to]	1.0
cetuximab	egfr	[prep_with, blockade, amod]	1.0
cetuximab	egfr	[appos, inhibitor, nn]	1.0
cetuximab	egfr	[appos, receptor, appos]	1.0
cetuximab	egfr	[dep, antibody, prep_against]	1.0
cetuximab	egfr	[agent, signaling, partmod]	1.0
cetuximab	egfr	[nsubj, antibody, amod]	1.0
cetuximab	egfr	[appos, antibody, amod]	1.0
cetuximab	egfr	[nsubj, antibody, partmod, targeted, prep_against]	1.0
cetuximab	egfr	[appos, antibody, prep_to]	1.0
cetuximab	egfr	[nsubj, inhibited, dobj]	1.0
cetuximab	egfr	[appos, inhibitor, amod]	1.0
cetuximab	egfr	[appos, antibody, partmod, targeting, dobj]	1.0
cetuximab	egfr	[dep, receptor, appos]	1.0
cetuximab	egfr	[nsubj, antibody, appos]	1.0
cetuximab	egfr	[amod, inhibitors, amod]	1.0
cetuximab	egfr	[prep_such_as, inhibitors, amod]	1.0
cetuximab	egfr	[amod, inhibitor, amod]	1.0
cetuximab	egfr	[nsubj, blocked, dobj, activation, prep_of]	1.0
cetuximab	egfr	[nsubj, antibody, rcmod, binds, prep_to]	1.0
cetuximab	egfr	[appos, antibody, prep_against]	1.0
cetuximab	egfr	[appos, inhibitors, amod]	1.0
cetuximab	egfr	[rcmod, targets, dobj]	1.0
cetuximab	egfr	[prep_by, inhibition, amod]	1.0
cetuximab	egfr	[prep_with, inhibition, nn]	1.0
cetuximab	egfr	[appos, antibody, nn]	1.0
cetuximab	egfr	[agent, blocked, nsubjpass]	1.0
cetuximab	egfr	[nsubj, antibody, prep_against]	1.0
cetuximab	egfr	[nsubj, binds, prep_to]	1.0
cetuximab	egfr	[prep_with, receptor, appos]	1.0
cetuximab	egfr	[nsubj, antibody, rcmod, targets, dobj]	1.0
cetuximab	egfr	[nsubj, inhibited, dobj, activation, prep_of]	1.0
cetuximab	egfr	[dep, inhibitors, amod]	1.0
cetuximab	egfr	[nsubj, inhibited, dobj, autophosphorylation, prep_of]	1.0
cetuximab	egfr	[nsubj, antibody, partmod, targeting, dobj]	1.0
gm-csf	il-18	[dep, factor, dep]	1.0
gm-csf	il-18	[appos, factor, dep]	1.0
cysteamine	gastrin	[nsubj, increased, dobj, secretion, amod]	1.0
cysteamine	gastrin	[nsubj, increased, dobj, release, nn]	1.0
cysteamine	gastrin	[amod, group, prep_in, increased, nsubj]	1.0
nadh	nad1	[amod, gene, appos]	1.0
nadh	nad1	[nn, dehydrogenase, appos]	1.0
nadh	nad3	[nn, dehydrogenase, appos]	1.0
nadh	nad3	[nn, gene, nn]	1.0
telmisartan	abca1	[nsubj, increased, dobj, expression, prep_of]	1.0
telmisartan	abca1	[nsubj, increased, dobj, levels, nn]	1.0
abciximab	p-selectin	[nsubj, increased, dobj, expression, amod]	1.0
capsaicin	ppargamma	[nsubj, inhibited, dobj, expression, prep_of]	1.0
mitoxantrone	abcg2	[amod, protein, appos]	1.0
mitoxantrone	abcg2	[appos, substrate, nn]	1.0
mitoxantrone	abcg2	[amod, protein, dep]	1.0
mitoxantrone	abcg2	[appos, substrate, amod]	1.0
nadh	nad4	[nn, dehydrogenase, appos]	1.0
nadh	nad4	[nn, gene, appos]	1.0
nadh	nad4	[amod, i, appos]	1.0
vinblastine	mdr1	[nsubj, had, dobj, effect, prep_on, levels, amod]	1.0
vinblastine	mdr1	[appos, substrate, prep_of]	1.0
glyburide	cyp2c9	[amod, phenytoin, amod, losartan, prep_including, drugs, dobj, metabolizes, nsubj]	1.0
glyburide	cyp2c9	[nsubj, showed, prep_on]	1.0
pgi2	pgis	[amod, synthase, appos]	1.0
pgi2	pgis	[nn, synthase, appos]	1.0
pge2	pges	[amod, synthase, appos]	1.0
pge2	pges	[appos, activity, nn]	1.0
pitavastatin	nf-kappab	[prep_of, activity, amod]	1.0
pitavastatin	nf-kappab	[nsubj, decreased, dobj, activity, prep_of]	1.0
pitavastatin	nf-kappab	[nsubj, inhibits, dobj, activation, amod]	1.0
pitavastatin	nf-kappab	[prep_of, effect, dobj, examined, prep_on]	1.0
pitavastatin	nf-kappab	[nsubj, inhibited, dobj, activation, prep_of]	1.0
pitavastatin	nf-kappab	[nsubj, reduced, dobj, activity, prep_of]	1.0
pitavastatin	nf-kappab	[prep_on, activation, amod]	1.0
glibenclamide	cftr	[appos, blocker, nn]	1.0
glibenclamide	cftr	[amod, inhibition, prep_of]	1.0
glibenclamide	cftr	[appos, blocker, prep_of]	1.0
glibenclamide	cftr	[nsubj, inhibits, dobj]	1.0
glibenclamide	cftr	[appos, inhibitor, amod]	1.0
glibenclamide	cftr	[nsubj, blocks, dobj]	1.0
genistein	ifn-gamma	[partmod, followed, agent]	1.0
atra	mef2c	[nsubj, regulates, dobj, activity, amod]	1.0
cyclosporine	statin	[nsubj, increases, dobj, levels, amod]	1.0
genistein	aromatase	[nsubj, increased, dobj, activity, amod]	1.0
genistein	aromatase	[nsubj, inhibit, dobj]	1.0
genistein	aromatase	[nsubj, stimulated, dobj, activity, amod]	1.0
genistein	aromatase	[nsubj, increase, dobj, activity, amod]	1.0
vardenafil	pde5	[prep_such_as, inhibitors, nn]	1.0
vardenafil	pde5	[nsubj, inhibited, prep_by]	1.0
vardenafil	pde5	[appos, inhibitor, nn]	1.0
vardenafil	pde5	[amod, inhibitor, appos]	1.0
vardenafil	pde5	[dep, inhibitors, nn]	1.0
vardenafil	pde5	[nsubj, inhibitor, nn]	1.0
vardenafil	pde5	[amod, inhibitors, num]	1.0
vardenafil	pde5	[appos, inhibitor, amod]	1.0
vardenafil	pde5	[dep, inhibitors, num]	1.0
vardenafil	pde5	[amod, inhibitors, amod]	1.0
vardenafil	pde5	[nsubj, inhibitor, appos]	1.0
vardenafil	pde5	[dep, inhibitors, amod]	1.0
vardenafil	pde5	[nsubj, inhibitors, nn]	1.0
vardenafil	pde5	[appos, inhibitor, appos]	1.0
vardenafil	pde5	[nsubj, has, dobj, affinity, prep_for]	1.0
lansoprazole	ho-1	[amod, expression, nn]	1.0
lansoprazole	ho-1	[agent, induced, partmod, expression, nn]	1.0
lansoprazole	ho-1	[nsubj, increased, dobj, levels, nn]	1.0
lansoprazole	ho-1	[prep_by, expression, nn]	1.0
noradrenaline	endothelin-1	[prep_than, potent, nsubj]	1.0
il-2	nf-kappab	[nsubj, increased, dobj, activity, amod]	1.0
il-2	nf-kappab	[nn, gene, appos]	1.0
il-2	nf-kappab	[nsubj, activate, dobj]	1.0
arsenite	parp	[prep_on, activity, nn]	1.0
flutamide	lhrh	[appos, agonist, nn]	1.0
d-amphetamine	amph	[nn, sulfate, appos]	1.0
d-amphetamine	amph	[amod, sulfate, appos]	1.0
d-amphetamine	amph	[amod, treatment, appos]	1.0
d-amphetamine	amph	[prep_of, concentrations, appos]	1.0
d-amphetamine	amph	[amod, administration, appos]	1.0
lovastatin	cyp3a4	[nsubj, substrates, prep_of]	1.0
lovastatin	cyp3a4	[nsubjpass, metabolized, agent]	1.0
lovastatin	cyp3a4	[nsubj, inhibited, dobj, activity, amod]	1.0
topotecan	dlts	[prep_of, toxicities, appos]	1.0
suramin	vegf	[agent, affected, nsubjpass]	1.0
hydroquinone	dt-diaphorase	[prep_to, catalyzes, nsubj]	1.0
dexamethasone	lactase	[nsubj, inhibits, dobj, activity, amod]	1.0
dexamethasone	lactase	[amod, activities, nn]	1.0
tamoxifen	heparanase	[prep_on, expression, amod]	1.0
tamoxifen	her-2	[nn, resistance, prep_in]	1.0
risperidone	cyp2d6	[nsubj, substrate, prep_for]	1.0
risperidone	cyp2d6	[nsubjpass, metabolized, agent]	1.0
risperidone	cyp2d6	[prep_of, metabolism, prep_in, involved, nsubjpass]	1.0
staurosporine	hsp27	[agent, reduced, nsubjpass]	1.0
atorvastatin	pcsk9	[nsubj, increased, dobj]	1.0
atorvastatin	pcsk9	[nsubj, increases, dobj, levels, amod]	1.0
promethazine	herg	[prep_of, effects, dobj, investigated, prepc_on]	1.0
sildenafil	copd	[dobj, received, nsubj, patients, prep_with]	1.0
sildenafil	copd	[amod, disease, appos]	1.0
rituximab	bcl-2	[nsubj, inhibited, dobj, expression, prep_of]	1.0
lovastatin	p21ras	[nsubj, reduced, dobj]	1.0
lovastatin	p21ras	[nsubj, blocked, prep_to]	1.0
fenofibrate	ldlr	[nsubj, increased, dobj, expression, amod]	1.0
fenofibrate	ldlr	[prep_by, expression, amod]	1.0
fenofibrate	ldlr	[prep_of, effects, dobj, investigated, prep_on, expression, nn]	1.0
fenofibrate	ldlr	[nsubj, increased, dobj, expression, nn]	1.0
fenofibrate	ldlr	[partmod, induced, dobj, expression, amod]	1.0
fenofibrate	ldlr	[prep_on, expression, nn]	1.0
pge2	pga1	[amod, alpha, dep]	1.0
pge2	pga1	[appos, alpha, nn]	1.0
melatonin	gnrh	[prep_on, levels, nn]	1.0
melatonin	gnrh	[nsubj, stimulated, dobj, release, amod]	1.0
melatonin	gnrh	[nn, hormone, appos]	1.0
melatonin	gnrh	[prep_by, expression, amod]	1.0
melatonin	gnrh	[nsubj, reduced, prep_to]	1.0
cimetidine	cyp3a	[nsubj, inhibit, dobj]	1.0
cimetidine	cyp3a	[xsubj, inhibit, dobj, activity, amod]	1.0
cimetidine	cyp3a	[nsubj, inhibitor, prep_of]	1.0
5-asa	inos	[nsubj, inhibits, dobj, expression, amod]	1.0
rabeprazole	mucin	[prep_on, secretion, nn]	1.0
dexamethasone	icam-1	[nsubj, suppressed, dobj, expression, nn]	1.0
dexamethasone	icam-1	[prep_of, effect, dobj, investigated, prep_on, expression, nn]	1.0
dexamethasone	icam-1	[nsubj, inhibited, dobj, expression, prep_of]	1.0
dexamethasone	icam-1	[nsubj, had, dobj, effect, prep_on, expression, nn]	1.0
dexamethasone	icam-1	[prep_on, expression, nn]	1.0
dexamethasone	icam-1	[nsubj, influence, dobj, expression, nn]	1.0
dexamethasone	icam-1	[nsubj, inhibit, dobj, expression, nn]	1.0
clenbuterol	beta2	[appos, agonist, amod]	1.0
rosiglitazone	pepck	[nsubj, induces, dobj, expression, amod]	1.0
oltipraz	nrf2	[nsubj, increased, prep_in, mice, amod]	1.0
oltipraz	nrf2	[prep_by, activation, amod]	1.0
oltipraz	nrf2	[appos, activator, prep_of]	1.0
doxazosin	alpha1	[appos, blocker, amod]	1.0
doxazosin	alpha1	[appos, antagonist, amod]	1.0
cyclosporin	cox-2	[prep_with, expression, nn]	1.0
ddavp	p-selectin	[nsubj, induce, dobj, expression, amod]	1.0
troglitazone	ppargamma	[prep_by, activation, nn]	1.0
troglitazone	ppargamma	[prep_such_as, ligands, nn]	1.0
troglitazone	ppargamma	[amod, activity, nn]	1.0
troglitazone	ppargamma	[amod, agonists, appos]	1.0
troglitazone	ppargamma	[prep_such_as, agonists, nn]	1.0
troglitazone	ppargamma	[appos, ligand, prep_for]	1.0
troglitazone	ppargamma	[nsubj, induces, dobj, expression, prep_of]	1.0
troglitazone	ppargamma	[dep, agonists, nn]	1.0
troglitazone	ppargamma	[prep_of, effect, nsubjpass, mediated, agent]	1.0
troglitazone	ppargamma	[amod, activators, nn]	1.0
troglitazone	ppargamma	[appos, agonists, nn]	1.0
troglitazone	ppargamma	[appos, activator, nn]	1.0
troglitazone	ppargamma	[nsubj, agonist, nn]	1.0
troglitazone	ppargamma	[nsubj, increased, dobj, activity, nn]	1.0
troglitazone	ppargamma	[agent, increased, nsubjpass, expression, nn]	1.0
troglitazone	ppargamma	[amod, gamma, appos]	1.0
troglitazone	ppargamma	[agent, activation, partmod]	1.0
troglitazone	ppargamma	[appos, ligand, nn]	1.0
troglitazone	ppargamma	[appos, ligands, prep_for]	1.0
troglitazone	ppargamma	[amod, expression, appos]	1.0
troglitazone	ppargamma	[appos, agonist, prep_of]	1.0
troglitazone	ppargamma	[appos, antagonist, nn]	1.0
troglitazone	ppargamma	[prep_by, expression, nn]	1.0
troglitazone	ppargamma	[appos, agonist, nn]	1.0
troglitazone	ppargamma	[amod, agonist, appos]	1.0
troglitazone	ppargamma	[appos, ligand, prep_of]	1.0
curcumin	ho-1	[nsubj, stimulates, dobj, activity, amod]	1.0
curcumin	ho-1	[nsubj, increased, dobj]	1.0
curcumin	ho-1	[nsubj, increased, dobj, expression, amod]	1.0
curcumin	ho-1	[nsubj, inducer, prep_of]	1.0
curcumin	ho-1	[xsubj, induce, dobj, expression, amod]	1.0
curcumin	ho-1	[prep_by, induction, nn]	1.0
curcumin	ho-1	[nsubj, induce, dobj, expression, nn]	1.0
curcumin	ho-1	[xsubj, induce, dobj]	1.0
curcumin	ho-1	[dobj, using, partmod]	1.0
curcumin	ho-1	[prep_of, action, prep_in]	1.0
curcumin	ho-1	[nsubj, induced, dobj, expression, nn]	1.0
curcumin	ho-1	[prep_on, activity, nn]	1.0
curcumin	ho-1	[nsubj, upregulated, dobj]	1.0
curcumin	ho-1	[nsubj, induces, dobj]	1.0
propofol	beta-endorphin	[nsubj, inhibited, dobj, secretion, prep_of]	1.0
dexamethasone	atrogin-1	[nsubj, increased, dobj]	1.0
dexamethasone	atrogin-1	[nsubj, increased, dobj, expression, amod]	1.0
dexamethasone	atrogin-1	[amod, treatment, nsubj, increased, dobj, expression, amod]	1.0
pge2	egr-1	[amod, levels, nn]	1.0
resveratrol	atf3	[amod, expression, nn]	1.0
resveratrol	atf3	[nsubj, induces, dobj, expression, amod]	1.0
indomethacin	crth2	[prep_of, effects, dobj, investigated, prep_on, expression, amod]	1.0
indomethacin	crth2	[agent, activated, nsubjpass]	1.0
paclitaxel	tlr4	[appos, ligand, prep_of]	1.0
pertuzumab	erbb2	[nsubj, binds, prep_to]	1.0
ethionamide	etha	[amod, resistance, appos]	1.0
dexamethasone	cyp2e1	[agent, induction, partmod]	1.0
dexamethasone	cyp2e1	[agent, suppressed, nsubjpass, expression, prep_of]	1.0
dexamethasone	cyp2e1	[nsubj, increased, dobj, level, amod]	1.0
gp120	ifn-gamma	[prep_in, presence, prep_of]	1.0
pge2	vegf	[nsubj, stimulated, dobj, expression, amod]	1.0
pge2	vegf	[nsubj, increases, dobj, expression, prep_of]	1.0
pge2	vegf	[nsubj, stimulates, dobj, expression, amod]	1.0
pge2	vegf	[nsubj, stimulates, dobj, expression, nn]	1.0
pge2	vegf	[nsubj, increases, dobj]	1.0
pge2	vegf	[prep_by, expression, amod]	1.0
pge2	vegf	[nsubj, increased, dobj, mrna, nn]	1.0
pge2	vegf	[amod, regulation, prep_of]	1.0
pge2	vegf	[nsubj, induced, dobj]	1.0
pge2	vegf	[nn, induced, nsubj]	1.0
pge2	vegf	[appos, factor, appos]	1.0
imatinib	hoct1	[nsubj, substrate, prep_for]	1.0
filgrastim	lenograstim	[prep_than, potent, nsubj]	1.0
filgrastim	lenograstim	[prep_with, treated, prep_with]	1.0
filgrastim	lenograstim	[dobj, compared, prep_with]	1.0
lenograstim	filgrastim	[nsubj, potent, prep_than]	1.0
lenograstim	filgrastim	[prep_with, treated, prep_with]	1.0
pioglitazone	ppar	[dep, agonist, amod]	1.0
pioglitazone	ppar	[prep_such_as, agonists, amod]	1.0
pioglitazone	ppar	[dep, agonist, nn]	1.0
pioglitazone	ppar	[nsubj, agonist, appos]	1.0
pioglitazone	ppar	[appos, receptor, appos]	1.0
pioglitazone	ppar	[appos, ligands, amod]	1.0
pioglitazone	ppar	[appos, agonist, amod]	1.0
pioglitazone	ppar	[appos, agonist, nn]	1.0
octreotide	vegf	[nsubj, inhibits, dobj, expression, prep_of]	1.0
octreotide	vegf	[agent, inhibited, nsubjpass, expression, amod]	1.0
octreotide	vegf	[prep_on, expression, nn]	1.0
geldanamycin	hsp70	[xsubj, induce, dobj, expression, prep_of]	1.0
corticosteroids	pprom	[prep_in, management, prep_of]	1.0
paclitaxel	vegf	[amod, factor, appos]	1.0
paclitaxel	vegf	[nsubj, suppressed, dobj, expression, prep_of]	1.0
epirubicin	filgrastim	[prep_with, support, nn]	1.0
nebivolol	enos	[xsubj, increase, dobj, activity, amod]	1.0
