(il-2,il-5)	il-2	il-5	[appos, interleukin, appos]	1.0
(il-2,il-5)	il-2	il-5	[prep_of, amounts, amod]	1.0
(il-2,il-5)	il-2	il-5	[prep_of, levels, nsubj]	1.0
(il-2,il-5)	il-2	il-5	[nn, ratios, nn]	1.0
(il-2,il-5)	il-2	il-5	[dep, ifn, dep]	1.0
(il-2,il-5)	il-2	il-5	[dep, factor, dep]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, induced, dobj, expression, prep_of]	1.0
(il-2,il-5)	il-2	il-5	[dep, alpha, dep]	1.0
(il-2,il-5)	il-2	il-5	[appos, alpha, appos]	1.0
(il-2,il-5)	il-2	il-5	[nn, factor, dep]	1.0
(il-2,il-5)	il-2	il-5	[prep_with, synergized, nsubj]	1.0
(il-2,il-5)	il-2	il-5	[appos, lt, appos]	1.0
(il-2,il-5)	il-2	il-5	[dep, chain, dep]	1.0
(il-2,il-5)	il-2	il-5	[appos, rantes, appos]	1.0
(il-2,il-5)	il-2	il-5	[dep, mucosa, dep]	1.0
(il-2,il-5)	il-2	il-5	[appos, beta, appos]	1.0
(il-2,il-5)	il-2	il-5	[pobj, to, dep, to, pobj]	1.0
(il-2,il-5)	il-2	il-5	[appos, ngf, appos]	1.0
(il-2,il-5)	il-2	il-5	[nn, perforin, appos]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, induces, dobj]	1.0
(il-2,il-5)	il-2	il-5	[xsubj, secrete, dobj]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, induced, acomp]	1.0
(il-2,il-5)	il-2	il-5	[nn, hprt, appos]	1.0
(il-2,il-5)	il-2	il-5	[prep_with, detected, nsubjpass]	1.0
(il-2,il-5)	il-2	il-5	[dep, interferon, dep]	1.0
(il-2,il-5)	il-2	il-5	[dep, gamma, dep]	1.0
(il-2,il-5)	il-2	il-5	[nn, alpha, dep]	1.0
(actd,actc)	actd	actc	[dep, levels, dep]	1.0
(il-11,il-16)	il-11	il-16	[amod, lymphotoxin, amod]	1.0
(fgf-7,fgf-2)	fgf-7	fgf-2	[appos, vegf, appos]	1.0
(fgf-7,fgf-2)	fgf-7	fgf-2	[pobj, by, dep, by, pobj]	1.0
(urokinase,fmlp)	urokinase	fmlp	[nsubj, binds, prep_to, receptor, nn]	1.0
(clopidogrel,p-selectin)	clopidogrel	p-selectin	[amod, treatment, nsubj, inhibited, dobj, expression, amod]	1.0
(clopidogrel,p-selectin)	clopidogrel	p-selectin	[nsubj, inhibited, dobj, expression, amod]	1.0
(clopidogrel,p-selectin)	clopidogrel	p-selectin	[nsubj, has, dobj, effects, prep_on, expression, prep_of, molecules, appos]	1.0
(fgf-7,fgf-1)	fgf-7	fgf-1	[nsubj, potent, prep_than]	1.0
(fgf-7,fgf-1)	fgf-7	fgf-1	[appos, factor, appos, factor, appos]	1.0
(il-11,il-13)	il-11	il-13	[amod, lymphotoxin, amod]	1.0
(il-11,il-13)	il-11	il-13	[prep_with, combination, prep_in]	1.0
(cd120b,cd120a)	cd120b	cd120a	[nsubjpass, expressed, prep_in, contrast, prep_to]	1.0
(cd120b,cd120a)	cd120b	cd120a	[prep_for, positive, prep_for]	1.0
(cd120b,cd120a)	cd120b	cd120a	[appos, kda, appos]	1.0
(isoflurane,caspase-3)	isoflurane	caspase-3	[prep_on, activation, amod]	1.0
(isoflurane,caspase-3)	isoflurane	caspase-3	[agent, induced, partmod, activation, amod]	1.0
(estradiol,bmpr1a)	estradiol	bmpr1a	[nsubj, decreased, dobj, levels, prep_of]	1.0
(duloxetine,icer)	duloxetine	icer	[nsubj, had, dobj]	1.0
(zuclopenthixol,cyp2d6)	zuclopenthixol	cyp2d6	[prep_of, concentrations, prep_on, polymorphism, amod]	1.0
(zuclopenthixol,cyp2d6)	zuclopenthixol	cyp2d6	[nsubjpass, metabolised, agent]	1.0
(doxycycline,smad7)	doxycycline	smad7	[agent, induced, nsubjpass, expression, amod]	1.0
(il-2,il-1)	il-2	il-1	[dep, alpha, dep, beta, amod]	1.0
(il-2,il-1)	il-2	il-1	[dep, alpha, dep, alpha, dep]	1.0
(il-2,il-1)	il-2	il-1	[prep_unlike, produced, nsubjpass]	1.0
(il-2,il-1)	il-2	il-1	[appos, beta, nn]	1.0
(il-2,il-1)	il-2	il-1	[nn, receptors, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, viii, nn]	1.0
(il-2,il-1)	il-2	il-1	[dep, factor, nn]	1.0
(il-2,il-1)	il-2	il-1	[dep, factor, amod]	1.0
(il-2,il-1)	il-2	il-1	[appos, lt, nn]	1.0
(il-2,il-1)	il-2	il-1	[amod, alpha, dep]	1.0
(il-2,il-1)	il-2	il-1	[amod, responsiveness, appos]	1.0
(il-2,il-1)	il-2	il-1	[dep, beta, nn]	1.0
(il-2,il-1)	il-2	il-1	[nn, production, nsubjpass, stimulated, agent]	1.0
(il-2,il-1)	il-2	il-1	[prep_of, secretion, amod]	1.0
(il-2,il-1)	il-2	il-1	[appos, production, nn]	1.0
(il-2,il-1)	il-2	il-1	[nn, expression, amod]	1.0
(il-2,il-1)	il-2	il-1	[nn, levels, nn]	1.0
(il-2,il-1)	il-2	il-1	[nn, beta, dep]	1.0
(il-2,il-1)	il-2	il-1	[appos, interleukin, appos]	1.0
(il-2,il-1)	il-2	il-1	[prep_of, effects, nsubj, dependent, prep_on]	1.0
(il-2,il-1)	il-2	il-1	[pobj, with, dep, with, pobj]	1.0
(il-2,il-1)	il-2	il-1	[appos, beta, amod]	1.0
(il-2,il-1)	il-2	il-1	[dep, levels, nn]	1.0
(il-2,il-1)	il-2	il-1	[dep, increased, nsubj]	1.0
(il-2,il-1)	il-2	il-1	[appos, gcsf, appos]	1.0
(il-2,il-1)	il-2	il-1	[dep, alpha, dep]	1.0
(il-2,il-1)	il-2	il-1	[prep_with, synergized, nsubj]	1.0
(il-2,il-1)	il-2	il-1	[appos, tnf, appos]	1.0
(il-2,il-1)	il-2	il-1	[nsubj, similar, prep_to]	1.0
(il-2,il-1)	il-2	il-1	[prep_with, synergizes, nsubj]	1.0
(il-2,il-1)	il-2	il-1	[appos, interleukin, dep, antagonist, dep]	1.0
(il-2,il-1)	il-2	il-1	[nn, treatment, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, interferon, appos]	1.0
(il-2,il-1)	il-2	il-1	[dep, alpha, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, beta, appos, beta, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, factor, appos, beta, nn]	1.0
(il-2,il-1)	il-2	il-1	[rcmod, stimulated, prep_with]	1.0
(il-2,il-1)	il-2	il-1	[nn, receptor, prep_of, expression, dobj, induced, nsubj]	1.0
(il-2,il-1)	il-2	il-1	[appos, beta, appos]	1.0
(il-2,il-1)	il-2	il-1	[nn, receptor, nn]	1.0
(il-2,il-1)	il-2	il-1	[pobj, to, dep, to, pobj]	1.0
(il-2,il-1)	il-2	il-1	[nn, therapy, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, ngf, appos]	1.0
(il-2,il-1)	il-2	il-1	[prep_to, respond, advcl, respond, prep_to]	1.0
(il-2,il-1)	il-2	il-1	[dep, receptor, nn]	1.0
(il-2,il-1)	il-2	il-1	[prep_with, act, xsubj]	1.0
(il-2,il-1)	il-2	il-1	[appos, factor, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, activity, appos]	1.0
(il-2,il-1)	il-2	il-1	[nn, cells, nn]	1.0
(il-2,il-1)	il-2	il-1	[nsubj, increased, advcl, decreased, nsubj]	1.0
(il-2,il-1)	il-2	il-1	[nn, production, nsubjpass, augmented, agent, coculturing, prep_with]	1.0
(il-2,il-1)	il-2	il-1	[prep_of, expression, amod]	1.0
(il-2,il-1)	il-2	il-1	[appos, csf, nn]	1.0
(il-2,il-1)	il-2	il-1	[nn, production, nn]	1.0
(il-2,il-1)	il-2	il-1	[nsubj, superior, prep_to]	1.0
(il-2,il-1)	il-2	il-1	[prep_with, combination, prep_in]	1.0
(il-2,il-1)	il-2	il-1	[appos, alpha, nn]	1.0
(il-2,il-1)	il-2	il-1	[agent, followed, partmod]	1.0
(il-2,il-1)	il-2	il-1	[appos, antagonist, nn]	1.0
(il-2,il-1)	il-2	il-1	[pobj, by, dep, by, pobj]	1.0
(il-2,il-1)	il-2	il-1	[amod, beta, nn]	1.0
(il-2,il-1)	il-2	il-1	[nn, synthesis, nn]	1.0
(il-2,il-1)	il-2	il-1	[nn, toxicity, prep_in]	1.0
(corticosteroids,leukotriene)	corticosteroids	leukotriene	[appos, antagonist, amod]	1.0
(corticosteroids,leukotriene)	corticosteroids	leukotriene	[appos, blockers, amod]	1.0
(corticosteroids,leukotriene)	corticosteroids	leukotriene	[appos, antagonists, amod]	1.0
(corticosteroids,leukotriene)	corticosteroids	leukotriene	[appos, agents, amod]	1.0
(corticosteroids,leukotriene)	corticosteroids	leukotriene	[prep_on, pathway, amod]	1.0
(aminopterin,tangier)	aminopterin	tangier	[prep_to, resistant, xcomp, allowed, nsubj, transfection, prep_of, cells, prep_with, vector, partmod, containing, dobj, gene, nn]	1.0
(il-11,il-18)	il-11	il-18	[appos, pdgfa, appos]	1.0
(il-11,il-17)	il-11	il-17	[dep, ratio, nn]	1.0
(tolbutamide,niddm)	tolbutamide	niddm	[prep_in, patients, prep_with]	1.0
(budesonide,galectin-7)	budesonide	galectin-7	[nsubj, modulates, dobj, expression, amod]	1.0
(budesonide,galectin-7)	budesonide	galectin-7	[nsubj, affect, dobj, expression, amod]	1.0
(collagenase,cartilage-derived)	collagenase	cartilage-derived	[nn, inhibitor, amod]	1.0
(pge2,pgd2)	pge2	pgd2	[advcl, had, nsubj]	1.0
(pge2,pgd2)	pge2	pgd2	[appos, aa, appos]	1.0
(pge2,pgd2)	pge2	pgd2	[nsubj, had, advcl, inhibited, nsubj]	1.0
(pge2,pgd2)	pge2	pgd2	[amod, analog, appos]	1.0
(pge2,pgd2)	pge2	pgd2	[nn, alpha, nn]	1.0
(pge2,pgd2)	pge2	pgd2	[dep, alpha, dep]	1.0
(pge2,pgd2)	pge2	pgd2	[appos, alpha, appos]	1.0
(pge2,pgd2)	pge2	pgd2	[prep_to, reduced, nsubj]	1.0
(pge2,pgd2)	pge2	pgd2	[partmod, followed, agent]	1.0
(pge2,pgd2)	pge2	pgd2	[num, alpha, num]	1.0
(pge2,pgd2)	pge2	pgd2	[dep, aa, dep, rose, prep_with]	1.0
(pge2,pgd2)	pge2	pgd2	[nsubj, inhibit, dep]	1.0
(pge2,pgd2)	pge2	pgd2	[prep_than, potent, nsubj]	1.0
(pge2,pgd2)	pge2	pgd2	[nn, alpha, appos]	1.0
(pge2,pgd2)	pge2	pgd2	[appos, alpha, nn]	1.0
(pge2,pgd2)	pge2	pgd2	[dep, alpha, amod]	1.0
(pge2,pgd2)	pge2	pgd2	[nn, alpha, dep]	1.0
(losartan,urat1)	losartan	urat1	[prep_on, level, prep_of, mrna, nn]	1.0
(losartan,urat1)	losartan	urat1	[nsubj, exhibited, prep_by]	1.0
(losartan,urat1)	losartan	urat1	[nsubj, inhibited, dobj]	1.0
(aldosterone,bmp-6)	aldosterone	bmp-6	[nsubj, decreased, dobj, expression, nn]	1.0
(aldosterone,bmp-6)	aldosterone	bmp-6	[amod, production, dobj, increases, nsubj]	1.0
(il-11,il-27)	il-11	il-27	[nn, m, appos]	1.0
(metformin,kcnq1)	metformin	kcnq1	[pobj, genotypes, num]	1.0
(tamoxifen,af-1)	tamoxifen	af-1	[nsubj, allows, dobj, activity, nn]	1.0
(forskolin,sf-1)	forskolin	sf-1	[prep_on, level, prep_of, mrna, nn]	1.0
(forskolin,sf-1)	forskolin	sf-1	[nsubj, increased, dobj, expression, prep_of]	1.0
(forskolin,sf-1)	forskolin	sf-1	[prep_with, treated, partmod, cells, prep_in, interacted, prep_with]	1.0
(forskolin,sf-1)	forskolin	sf-1	[amod, levels, nn]	1.0
(fluorescein,p-gp)	fluorescein	p-gp	[nn, isothiocyanate, dobj, using, xcomp, measured, nsubjpass, expression, prep_of]	1.0
(melatonin,p130)	melatonin	p130	[nsubj, upregulates, dobj, expression, prep_of]	1.0
(everolimus,egfr)	everolimus	egfr	[partmod, designed, xcomp, test, dobj, inhibition, prep_of, target, prep_of, rapamycin, appos]	1.0
(nadh,nad1)	nadh	nad1	[amod, gene, appos]	1.0
(nadh,nad1)	nadh	nad1	[nn, dehydrogenase, appos]	1.0
(nadh,nad2)	nadh	nad2	[nn, dehydrogenase, appos]	1.0
(nadh,nad3)	nadh	nad3	[nn, dehydrogenase, appos]	1.0
(nadh,nad3)	nadh	nad3	[nn, gene, nn]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[amod, protein, dep]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[nsubj, extrudes, nn]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[prep_in, cells, partmod, expressing, dobj]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[appos, substrate, amod]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[prep_of, uptake, nsubjpass, mediated, agent]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[amod, protein, appos]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[prep_including, substrates, nn]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[prep_including, substrates, prep_of]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[appos, substrate, nn]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[infmod, expression, prep_of]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[prep_for, exhibited, nsubj]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[prep_such_as, substrates, prep_of]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[appos, substrates, amod]	1.0
(nadh,nad4)	nadh	nad4	[nn, dehydrogenase, appos]	1.0
(nadh,nad4)	nadh	nad4	[amod, i, appos]	1.0
(nadh,nad4)	nadh	nad4	[nn, gene, appos]	1.0
(brompheniramine,herg)	brompheniramine	herg	[nsubj, inhibited, xcomp]	1.0
(pge2,pges)	pge2	pges	[appos, activity, nn]	1.0
(pge2,pges)	pge2	pges	[amod, synthase, appos]	1.0
(pge2,pges)	pge2	pges	[amod, production, prep_to, contributes, nsubj]	1.0
(pge2,pges)	pge2	pges	[prep_to, catalyzes, nsubj, synthase, appos]	1.0
(pge2,pges)	pge2	pges	[num, synthase, appos]	1.0
(pgi2,pgis)	pgi2	pgis	[amod, synthase, appos]	1.0
(pgi2,pgis)	pgi2	pgis	[appos, synthase, appos]	1.0
(pgi2,pgis)	pgi2	pgis	[num, synthase, dep]	1.0
(pgi2,pgis)	pgi2	pgis	[nn, synthesis, prep_of, catalyst, appos, synthase, appos]	1.0
(pgi2,pgis)	pgi2	pgis	[nn, function, nsubj, depends, prep_on, alleles, prep_of, gene, nn]	1.0
(pgi2,pgis)	pgi2	pgis	[nn, synthase, appos]	1.0
(pgi2,pgis)	pgi2	pgis	[prep_to, catalyzes, nsubj, synthase, appos]	1.0
(pgi2,pgis)	pgi2	pgis	[num, synthase, appos]	1.0
(tamoxifen,ptpro)	tamoxifen	ptpro	[prep_with, treatment, nsubj, increased, dobj, expression, nn]	1.0
(tamoxifen,ptpro)	tamoxifen	ptpro	[prep_on, expression, nn]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[nsubj, reduced, dobj, activity, prep_of]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[nsubj, inhibited, dobj, activation, prep_of]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[prep_on, activation, amod]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[prep_of, effect, dobj, investigated, prep_on, activation, amod]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[nsubj, decreased, dobj, activity, prep_of]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[prep_of, activity, amod]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[nsubj, inhibits, dobj, activation, amod]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[prep_of, effect, dobj, examined, prep_on]	1.0
(naproxen,il-1)	naproxen	il-1	[prep_on, concentration, prep_of]	1.0
(sevoflurane,cd36)	sevoflurane	cd36	[nsubj, decreased, dobj]	1.0
(sevoflurane,ap-1)	sevoflurane	ap-1	[nsubj, inhibited, dobj, activation, prep_of]	1.0
(sevoflurane,ap-1)	sevoflurane	ap-1	[nsubj, inhibitor, prep_of]	1.0
(cyclosporin,bcrp)	cyclosporin	bcrp	[nn, a, nsubj, modulates, dobj]	1.0
(isotretinoin,mmp-13)	isotretinoin	mmp-13	[nsubj, inhibited, prep_of]	1.0
(bleomycin,polq)	bleomycin	polq	[prep_than, cells, amod]	1.0
(bleomycin,polq)	bleomycin	polq	[xsubj, cells, amod]	1.0
(pge2,roat1)	pge2	roat1	[nsubj, abolish, prep_by]	1.0
(sulfasalazine,spla2)	sulfasalazine	spla2	[nsubj, inhibited, dobj, release, prep_of]	1.0
(topotecan,vegf)	topotecan	vegf	[agent, reduced, nsubjpass, levels, amod]	1.0
(noradrenaline,endothelin-1)	noradrenaline	endothelin-1	[prep_in, reduction, nsubj, observed, advcl, observed, nsubj, reduction, prep_in, formation, amod]	1.0
(noradrenaline,endothelin-1)	noradrenaline	endothelin-1	[prep_to, potentiated, nsubj]	1.0
(noradrenaline,endothelin-1)	noradrenaline	endothelin-1	[prep_to, responses, amod]	1.0
(noradrenaline,endothelin-1)	noradrenaline	endothelin-1	[dep, bradykinin, dep]	1.0
(noradrenaline,endothelin-1)	noradrenaline	endothelin-1	[prep_than, potent, nsubj]	1.0
(noradrenaline,endothelin-1)	noradrenaline	endothelin-1	[prep_of, release, dobj, stimulated, nsubj]	1.0
(melatonin,p100)	melatonin	p100	[nsubj, inhibited, prepc_without, affecting, dobj, expression, amod]	1.0
(warfarin,ml-1)	warfarin	ml-1	[nn, concentrations, nsubj]	1.0
(arsenite,parp)	arsenite	parp	[amod, decreases, nsubj]	1.0
(arsenite,parp)	arsenite	parp	[prep_on, activity, nn]	1.0
(topotecan,dlts)	topotecan	dlts	[prep_of, toxicities, appos]	1.0
(estradiol,cxcl11)	estradiol	cxcl11	[nsubj, induces, dobj, expression, prep_of]	1.0
(suramin,vegf)	suramin	vegf	[agent, inhibited, nsubjpass, action, prep_of]	1.0
(suramin,vegf)	suramin	vegf	[agent, affected, nsubjpass]	1.0
(staurosporine,hsp27)	staurosporine	hsp27	[prep_to, conferred, nsubj]	1.0
(staurosporine,hsp27)	staurosporine	hsp27	[agent, reduced, nsubjpass]	1.0
(prostacyclin,ml-1)	prostacyclin	ml-1	[prep_of, addition, appos]	1.0
(prostacyclin,ml-1)	prostacyclin	ml-1	[nn, analogs, dep]	1.0
(promethazine,herg)	promethazine	herg	[nsubj, blocker, prep_of, channels, amod]	1.0
(promethazine,herg)	promethazine	herg	[prep_of, administration, prep_during, providing, partmod, blocker, prep_of, channels, amod]	1.0
(promethazine,herg)	promethazine	herg	[prep_of, effects, dobj, investigated, prepc_on]	1.0
(promethazine,herg)	promethazine	herg	[prep_of, effects, dobj, examined, prep_on, channels, amod]	1.0
(promethazine,herg)	promethazine	herg	[prep_of, effects, dobj, investigated, advcl, one, nsubj, block, prep_of, channels, nn]	1.0
(valsartan,vegf)	valsartan	vegf	[nsubj, affect, dobj, levels, nn]	1.0
(n-acetylcysteine,hif-1alpha)	n-acetylcysteine	hif-1alpha	[nsubj, abolished, dobj, induction, prep_of]	1.0
(n-acetylcysteine,hif-1alpha)	n-acetylcysteine	hif-1alpha	[nsubj, reduced, iobj]	1.0
(tamoxifen,brca1)	tamoxifen	brca1	[dobj, received, prep_of, patients, prep_with, mutations, num]	1.0
(tamoxifen,brca1)	tamoxifen	brca1	[prep_in, carriers, nn]	1.0
(hydroxyurea,cdc2)	hydroxyurea	cdc2	[nsubj, induced, dobj, phosphorylation, amod]	1.0
(tamoxifen,brca2)	tamoxifen	brca2	[dobj, received, prep_of, patients, prep_with, mutations, num]	1.0
(nutlin-3,hif-1)	nutlin-3	hif-1	[nsubj, inhibits, acomp]	1.0
(hydroxyurea,cdc7)	hydroxyurea	cdc7	[nn, genes, amod]	1.0
(glucosamine,o-glcnacase)	glucosamine	o-glcnacase	[dep, inhibitor, prep_of]	1.0
(minocycline,osteocalcin)	minocycline	osteocalcin	[nsubj, had, dobj, effect, prep_on, expression, prep_of]	1.0
(pge2,pga1)	pge2	pga1	[amod, alpha, dep]	1.0
(pge2,pga1)	pge2	pga1	[appos, alpha, nn]	1.0
(alendronate,icer)	alendronate	icer	[nn, therapy, prep_for]	1.0
(deoxyadenosine,mononucleotide)	deoxyadenosine	mononucleotide	[dep, monophosphate, amod]	1.0
(cisplatin,ghrl)	cisplatin	ghrl	[amod, treatment, prep_on, expression, prep_of]	1.0
(nadh,dt-diaphorase)	nadh	dt-diaphorase	[nn, reductase, dep]	1.0
(etoposide,adam10)	etoposide	adam10	[nsubj, upregulates, dobj, mrna, nn]	1.0
(etoposide,adam10)	etoposide	adam10	[nsubj, induces, dobj, upregulation, prep_of]	1.0
(bleomycin,syndecan-4)	bleomycin	syndecan-4	[nn, treatment, nsubj, increased, dobj, expression, amod]	1.0
(epirubicin,udp-glucuronosyltransferase)	epirubicin	udp-glucuronosyltransferase	[nn, glucuronide, prep_by]	1.0
(glimepiride,drip205)	glimepiride	drip205	[nsubj, enhanced, dobj, recruitment, prep_of]	1.0
(clenbuterol,beta3)	clenbuterol	beta3	[appos, agonist, amod]	1.0
(clenbuterol,beta2)	clenbuterol	beta2	[appos, agonist, amod]	1.0
(clenbuterol,beta2)	clenbuterol	beta2	[amod, effects, prep_of, agonists, amod]	1.0
(clenbuterol,beta2)	clenbuterol	beta2	[nsubj, bronchodilator, amod]	1.0
(rosiglitazone,pepck)	rosiglitazone	pepck	[nsubj, induces, dobj, expression, amod]	1.0
(baclofen,proenkephalin)	baclofen	proenkephalin	[nsubj, increased, dobj, expression, prep_of, gene, nn]	1.0
(enalapril,icam-1)	enalapril	icam-1	[nsubj, had, dobj, effect, prep_on, levels, nn]	1.0
(doxazosin,alpha1)	doxazosin	alpha1	[appos, antagonist, amod]	1.0
(doxazosin,alpha1)	doxazosin	alpha1	[appos, blocker, amod]	1.0
(cyclosporin,cox-2)	cyclosporin	cox-2	[prep_with, expression, nn]	1.0
(propofol,beta-endorphin)	propofol	beta-endorphin	[nsubj, inhibited, dobj, secretion, prep_of]	1.0
(n-acetylcysteine,mst1)	n-acetylcysteine	mst1	[nsubj, inhibited, dobj, activation, prep_of]	1.0
(sevoflurane,cd31)	sevoflurane	cd31	[amod, preconditioning, prep_after, determined, nsubjpass, levels, appos]	1.0
(dexamethasone,atrogin-1)	dexamethasone	atrogin-1	[amod, treatment, nsubj, increased, dobj, expression, amod]	1.0
(dexamethasone,atrogin-1)	dexamethasone	atrogin-1	[nsubj, increased, dobj]	1.0
(dexamethasone,atrogin-1)	dexamethasone	atrogin-1	[nsubj, increased, dobj, expression, amod]	1.0
(dexamethasone,atrogin-1)	dexamethasone	atrogin-1	[amod, administration, nsubj, increased, dobj, level, nn]	1.0
(dexamethasone,atrogin-1)	dexamethasone	atrogin-1	[amod, increases, prep_in, expression, amod]	1.0
(rosuvastatin,ho-1)	rosuvastatin	ho-1	[prep_of, site, nsubj]	1.0
(rosuvastatin,ho-1)	rosuvastatin	ho-1	[nsubj, increased, dobj, mrna, nn]	1.0
(rosuvastatin,ho-1)	rosuvastatin	ho-1	[prep_by, induction, nn]	1.0
(halothane,herg)	halothane	herg	[nsubj, decreased, xcomp]	1.0
(halothane,herg)	halothane	herg	[nsubj, inhibits, xcomp]	1.0
(resveratrol,atf3)	resveratrol	atf3	[amod, expression, nn]	1.0
(resveratrol,atf3)	resveratrol	atf3	[nsubj, induces, dobj, expression, amod]	1.0
(indomethacin,crth2)	indomethacin	crth2	[prep_with, treatment, nsubj, reduced, dobj, expression, nn]	1.0
(indomethacin,crth2)	indomethacin	crth2	[prep_of, effects, dobj, investigated, prep_on, expression, amod]	1.0
(indomethacin,crth2)	indomethacin	crth2	[agent, activated, nsubjpass]	1.0
(cloxacillin,clox)	cloxacillin	clox	[amod, complexes, appos]	1.0
(irap,gga1)	irap	gga1	[dobj, prevented, nsubj, knockdown, prep_of]	1.0
(carbachol,ins-1)	carbachol	ins-1	[prep_in, cells, nn]	1.0
(aprotinin,tfpi)	aprotinin	tfpi	[prep_to, homologous, nsubj]	1.0
(atra,pedf)	atra	pedf	[agent, increased, nsubjpass]	1.0
(fenamates,icat)	fenamates	icat	[prep_on, current, appos]	1.0
(dexamethasone,igf-ii)	dexamethasone	igf-ii	[nsubj, alter, dobj, secretion, amod]	1.0
(camptothecin,trex1)	camptothecin	trex1	[nsubj, induced, dobj, protein, amod]	1.0
(epirubicin,filgrastim)	epirubicin	filgrastim	[prep_with, support, nn]	1.0
(thyroxine,dheas)	thyroxine	dheas	[appos, thyrotropin, appos]	1.0
(modafinil,orexin)	modafinil	orexin	[nsubj, increased, prep_in, mice, amod]	1.0
(ketanserin,herg)	ketanserin	herg	[nsubj, blocked, xcomp]	1.0
(pge2,tlr4)	pge2	tlr4	[amod, supplementation, prep_of]	1.0
(bisphosphonates,ppiase)	bisphosphonates	ppiase	[nsubj, inhibited, prep_than, activity, nn]	1.0
(coumarin,cyp3a4)	coumarin	cyp3a4	[appos, testosterone, dep, catalysed, prep_by]	1.0
