(propranolol,beta2)	propranolol	beta2	[appos, antagonist, amod]	1.0
(propranolol,beta2)	propranolol	beta2	[prep_with, blockade, amod]	1.0
(isoflurane,caspase-3)	isoflurane	caspase-3	[agent, induced, partmod, activation, amod]	1.0
(isoflurane,caspase-3)	isoflurane	caspase-3	[prep_on, activation, amod]	1.0
(indomethacin,phospholipase)	indomethacin	phospholipase	[nsubj, had, dobj, effect, prep_on, activity, amod]	1.0
(indomethacin,phospholipase)	indomethacin	phospholipase	[nsubj, inhibitor, prep_of, activity, amod]	1.0
(indomethacin,phospholipase)	indomethacin	phospholipase	[nsubj, inhibited, ccomp]	1.0
(indomethacin,phospholipase)	indomethacin	phospholipase	[nsubj, inhibited, dobj, activity, amod]	1.0
(indomethacin,phospholipase)	indomethacin	phospholipase	[nsubj, inhibited, dobj]	1.0
(indomethacin,phospholipase)	indomethacin	phospholipase	[appos, inhibitor, amod]	1.0
(indomethacin,phospholipase)	indomethacin	phospholipase	[appos, inhibitor, prep_of, activity, amod]	1.0
(indomethacin,phospholipase)	indomethacin	phospholipase	[agent, inhibited, nsubjpass, activity, nn]	1.0
(anti-il-2,cd25)	anti-il-2	cd25	[amod, receptors, appos]	1.0
(zuclopenthixol,cyp2d6)	zuclopenthixol	cyp2d6	[nsubjpass, metabolised, agent]	1.0
(doxycycline,smad7)	doxycycline	smad7	[agent, induced, nsubjpass, expression, amod]	1.0
(il-2,il-1)	il-2	il-1	[nn, beta, dep]	1.0
(il-2,il-1)	il-2	il-1	[appos, ngf, appos]	1.0
(il-2,il-1)	il-2	il-1	[appos, beta, appos, beta, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, factor, nn]	1.0
(il-2,il-1)	il-2	il-1	[dep, alpha, dep]	1.0
(il-2,il-1)	il-2	il-1	[prep_with, synergized, nsubj]	1.0
(il-2,il-1)	il-2	il-1	[prep_of, expression, amod]	1.0
(il-2,il-1)	il-2	il-1	[appos, csf, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, interleukin, appos]	1.0
(il-2,il-1)	il-2	il-1	[amod, alpha, dep]	1.0
(il-2,il-1)	il-2	il-1	[appos, tnf, appos]	1.0
(il-2,il-1)	il-2	il-1	[nn, cells, nn]	1.0
(il-2,il-1)	il-2	il-1	[prep_with, synergizes, nsubj]	1.0
(il-2,il-1)	il-2	il-1	[nn, production, nn]	1.0
(il-2,il-1)	il-2	il-1	[prep_with, combination, prep_in]	1.0
(il-2,il-1)	il-2	il-1	[dep, beta, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, beta, nn]	1.0
(il-2,il-1)	il-2	il-1	[pobj, with, dep, with, pobj]	1.0
(il-2,il-1)	il-2	il-1	[nn, receptors, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, beta, appos]	1.0
(il-2,il-1)	il-2	il-1	[appos, alpha, nn]	1.0
(il-2,il-1)	il-2	il-1	[agent, followed, partmod]	1.0
(il-2,il-1)	il-2	il-1	[nn, treatment, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, antagonist, nn]	1.0
(il-2,il-1)	il-2	il-1	[appos, production, nn]	1.0
(il-2,il-1)	il-2	il-1	[nn, expression, amod]	1.0
(il-2,il-1)	il-2	il-1	[nn, receptor, nn]	1.0
(il-2,il-1)	il-2	il-1	[pobj, to, dep, to, pobj]	1.0
(il-2,il-1)	il-2	il-1	[pobj, by, dep, by, pobj]	1.0
(il-2,il-1)	il-2	il-1	[nn, levels, nn]	1.0
(il-2,il-1)	il-2	il-1	[nn, therapy, nn]	1.0
(corticosteroids,leukotriene)	corticosteroids	leukotriene	[appos, antagonist, amod]	1.0
(corticosteroids,leukotriene)	corticosteroids	leukotriene	[appos, antagonists, amod]	1.0
(gliclazide,niddm)	gliclazide	niddm	[nsubjpass, associated, prep_with]	1.0
(tolbutamide,niddm)	tolbutamide	niddm	[prep_in, patients, prep_with]	1.0
(dipyridamole,pde5)	dipyridamole	pde5	[appos, inhibitor, nn]	1.0
(dipyridamole,pde5)	dipyridamole	pde5	[appos, inhibitors, num]	1.0
(dipyridamole,pde5)	dipyridamole	pde5	[amod, inhibitors, num]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_as, inhibitor, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_such_as, inhibitors, nn]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_with, inhibited, nsubjpass]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_like, inhibitors, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[dobj, inhibitors, nsubj]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[dep, inhibitors, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, antagonist, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[amod, protein, appos]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[dep, inhibitor, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[amod, inhibition, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[dobj, using, nsubj]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, inhibitors, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_with, cells, prep_of, treatment, appos, inhibitor, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, inhibitor, nn]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, inhibitor, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, inhibitors, nn]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, inhibitors, num]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nsubj, inhibitor, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_such_as, inhibitors, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, blocker, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nsubj, inhibits, dobj]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nsubj, inhibitor, nn]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[amod, inhibitors, num]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, inhibitor, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_of, binding, prep_to]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[dobj, using, partmod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nsubj, binds, dobj]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_with, inhibition, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_such_as, inhibitors, num]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nn, a, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, inhibitor, prep_of, activity, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[dep, inhibition, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[amod, inhibitors, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[rcmod, inhibitor, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[dep, inhibitor, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, inhibitors, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nsubj, decreased, dobj, phosphorylation, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_by, inhibited, nsubj]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_of, target, appos]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_by, inhibition, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, protein, appos]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nsubj, binds, prep_to]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nsubj, interacts, prep_with]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[amod, selective, dep]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_including, inhibitors, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, inhibitor, num]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[agent, inhibition, partmod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_by, inhibition, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nsubj, inhibitor, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[nsubj, inhibits, dobj, activity, prep_of]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_with, activity, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[prep_by, activity, amod]	1.0
(geldanamycin,hsp90)	geldanamycin	hsp90	[appos, antagonist, prep_of]	1.0
(melatonin,bcl-2)	melatonin	bcl-2	[nsubj, enhanced, dobj, expression, prep_of]	1.0
(melatonin,bcl-2)	melatonin	bcl-2	[amod, expression, nn]	1.0
(melatonin,bcl-2)	melatonin	bcl-2	[amod, genes, amod]	1.0
(carbamates,faah)	carbamates	faah	[prep_by, inactivation, nn]	1.0
(carbamates,faah)	carbamates	faah	[nsubj, inhibit, dobj]	1.0
(pge2,pgd2)	pge2	pgd2	[prep_than, potent, nsubj]	1.0
(pge2,pgd2)	pge2	pgd2	[dep, alpha, dep]	1.0
(pge2,pgd2)	pge2	pgd2	[appos, alpha, appos]	1.0
(pge2,pgd2)	pge2	pgd2	[nn, alpha, appos]	1.0
(pge2,pgd2)	pge2	pgd2	[prep_to, reduced, nsubj]	1.0
(pge2,pgd2)	pge2	pgd2	[partmod, followed, agent]	1.0
(pge2,pgd2)	pge2	pgd2	[appos, alpha, nn]	1.0
(pge2,pgd2)	pge2	pgd2	[nn, alpha, dep]	1.0
(losartan,urat1)	losartan	urat1	[nsubj, inhibited, dobj]	1.0
(aldosterone,bmp-6)	aldosterone	bmp-6	[nsubj, decreased, dobj, expression, nn]	1.0
(gm-csf,il-13)	gm-csf	il-13	[dep, factor, dep]	1.0
(gm-csf,il-13)	gm-csf	il-13	[nn, expression, nn]	1.0
(gm-csf,il-13)	gm-csf	il-13	[appos, factor, dep]	1.0
(gm-csf,il-13)	gm-csf	il-13	[amod, alpha, dep]	1.0
(gm-csf,il-13)	gm-csf	il-13	[appos, factor, appos]	1.0
(prostacyclin,cox-1)	prostacyclin	cox-1	[nn, synthase, appos]	1.0
(astemizole,cyp2j2)	astemizole	cyp2j2	[appos, inhibitor, nn]	1.0
(prostacyclin,cox-2)	prostacyclin	cox-2	[dobj, inhibitors, nsubj]	1.0
(prostacyclin,cox-2)	prostacyclin	cox-2	[nsubj, induces, dobj, expression, nn]	1.0
(prostacyclin,cox-2)	prostacyclin	cox-2	[nn, receptor, appos]	1.0
(gm-csf,il-15)	gm-csf	il-15	[dep, factor, dep]	1.0
(gm-csf,il-15)	gm-csf	il-15	[prep_with, combination, prep_in]	1.0
(gm-csf,il-15)	gm-csf	il-15	[appos, factor, amod]	1.0
(amiloride,kallikrein)	amiloride	kallikrein	[nsubj, inhibit, dobj, activity, prep_of]	1.0
(amiloride,kallikrein)	amiloride	kallikrein	[rcmod, inhibits, acomp]	1.0
(amiloride,kallikrein)	amiloride	kallikrein	[agent, inhibited, nsubjpass, activity, prep_of]	1.0
(diphenhydramine,cyp2d6)	diphenhydramine	cyp2d6	[nsubj, inhibit, dobj, activity, amod]	1.0
(diphenhydramine,cyp2d6)	diphenhydramine	cyp2d6	[prep_on, activity, prep_of]	1.0
(diphenhydramine,cyp2d6)	diphenhydramine	cyp2d6	[nsubj, inhibited, dobj]	1.0
(diphenhydramine,cyp2d6)	diphenhydramine	cyp2d6	[nsubj, substrate, amod]	1.0
(gm-csf,il-10)	gm-csf	il-10	[dep, factor, dep]	1.0
(gm-csf,il-10)	gm-csf	il-10	[nsubj, induces, dobj, expression, nn]	1.0
(gm-csf,il-10)	gm-csf	il-10	[appos, factor, dep]	1.0
(gm-csf,il-10)	gm-csf	il-10	[appos, levels, amod]	1.0
(gm-csf,il-10)	gm-csf	il-10	[amod, levels, prep_of]	1.0
(gm-csf,il-10)	gm-csf	il-10	[amod, alpha, dep]	1.0
(gm-csf,il-10)	gm-csf	il-10	[prep_with, associated, nsubjpass]	1.0
(gm-csf,il-10)	gm-csf	il-10	[appos, viii, appos]	1.0
(gm-csf,il-10)	gm-csf	il-10	[appos, factor, amod]	1.0
(valsartan,adiponectin)	valsartan	adiponectin	[prep_on, levels, nn]	1.0
(forskolin,sf-1)	forskolin	sf-1	[amod, levels, nn]	1.0
(forskolin,sf-1)	forskolin	sf-1	[nsubj, increased, dobj, expression, prep_of]	1.0
(gm-csf,il-11)	gm-csf	il-11	[appos, scf, appos]	1.0
(gm-csf,il-11)	gm-csf	il-11	[appos, genes, amod]	1.0
(il-11,gm-csf)	il-11	gm-csf	[amod, genes, appos]	1.0
(il-11,gm-csf)	il-11	gm-csf	[appos, scf, appos]	1.0
(capecitabine,dlts)	capecitabine	dlts	[prep_of, toxicities, appos]	1.0
(pranlukast,cyslt1)	pranlukast	cyslt1	[amod, antagonists, appos]	1.0
(pranlukast,cyslt1)	pranlukast	cyslt1	[appos, antagonist, appos]	1.0
(pranlukast,cyslt1)	pranlukast	cyslt1	[appos, antagonist, amod]	1.0
(pranlukast,cyslt1)	pranlukast	cyslt1	[amod, antagonists, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, antibody, partmod, directed, prep_against]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, antibody, partmod, directed, prep_against]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, receptor, appos]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, blocker, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[amod, inhibitors, appos]	1.0
(cetuximab,egfr)	cetuximab	egfr	[rcmod, binds, prep_to]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, inhibitor, prep_of, receptor, appos]	1.0
(cetuximab,egfr)	cetuximab	egfr	[amod, receptor, appos]	1.0
(cetuximab,egfr)	cetuximab	egfr	[amod, binds, prep_to]	1.0
(cetuximab,egfr)	cetuximab	egfr	[prep_with, blockade, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, inhibitor, nn]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, receptor, appos]	1.0
(cetuximab,egfr)	cetuximab	egfr	[dep, antibody, prep_against]	1.0
(cetuximab,egfr)	cetuximab	egfr	[agent, signaling, partmod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, antibody, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, antibody, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, antibody, partmod, targeted, prep_against]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, antibody, prep_to]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, inhibited, dobj]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, inhibitor, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, antibody, partmod, targeting, dobj]	1.0
(cetuximab,egfr)	cetuximab	egfr	[dep, receptor, appos]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, antibody, appos]	1.0
(cetuximab,egfr)	cetuximab	egfr	[amod, inhibitors, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[prep_such_as, inhibitors, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[amod, inhibitor, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, blocked, dobj, activation, prep_of]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, antibody, rcmod, binds, prep_to]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, antibody, prep_against]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, inhibitors, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[rcmod, targets, dobj]	1.0
(cetuximab,egfr)	cetuximab	egfr	[prep_by, inhibition, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[prep_with, inhibition, nn]	1.0
(cetuximab,egfr)	cetuximab	egfr	[appos, antibody, nn]	1.0
(cetuximab,egfr)	cetuximab	egfr	[agent, blocked, nsubjpass]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, antibody, prep_against]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, binds, prep_to]	1.0
(cetuximab,egfr)	cetuximab	egfr	[prep_with, receptor, appos]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, antibody, rcmod, targets, dobj]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, inhibited, dobj, activation, prep_of]	1.0
(cetuximab,egfr)	cetuximab	egfr	[dep, inhibitors, amod]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, inhibited, dobj, autophosphorylation, prep_of]	1.0
(cetuximab,egfr)	cetuximab	egfr	[nsubj, antibody, partmod, targeting, dobj]	1.0
(gm-csf,il-18)	gm-csf	il-18	[dep, factor, dep]	1.0
(gm-csf,il-18)	gm-csf	il-18	[appos, factor, dep]	1.0
(cysteamine,gastrin)	cysteamine	gastrin	[nsubj, increased, dobj, secretion, amod]	1.0
(cysteamine,gastrin)	cysteamine	gastrin	[nsubj, increased, dobj, release, nn]	1.0
(cysteamine,gastrin)	cysteamine	gastrin	[amod, group, prep_in, increased, nsubj]	1.0
(nadh,nad1)	nadh	nad1	[amod, gene, appos]	1.0
(nadh,nad1)	nadh	nad1	[nn, dehydrogenase, appos]	1.0
(nadh,nad3)	nadh	nad3	[nn, dehydrogenase, appos]	1.0
(nadh,nad3)	nadh	nad3	[nn, gene, nn]	1.0
(telmisartan,abca1)	telmisartan	abca1	[nsubj, increased, dobj, expression, prep_of]	1.0
(telmisartan,abca1)	telmisartan	abca1	[nsubj, increased, dobj, levels, nn]	1.0
(abciximab,p-selectin)	abciximab	p-selectin	[nsubj, increased, dobj, expression, amod]	1.0
(capsaicin,ppargamma)	capsaicin	ppargamma	[nsubj, inhibited, dobj, expression, prep_of]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[amod, protein, appos]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[appos, substrate, nn]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[amod, protein, dep]	1.0
(mitoxantrone,abcg2)	mitoxantrone	abcg2	[appos, substrate, amod]	1.0
(nadh,nad4)	nadh	nad4	[nn, dehydrogenase, appos]	1.0
(nadh,nad4)	nadh	nad4	[nn, gene, appos]	1.0
(nadh,nad4)	nadh	nad4	[amod, i, appos]	1.0
(vinblastine,mdr1)	vinblastine	mdr1	[nsubj, had, dobj, effect, prep_on, levels, amod]	1.0
(vinblastine,mdr1)	vinblastine	mdr1	[appos, substrate, prep_of]	1.0
(glyburide,cyp2c9)	glyburide	cyp2c9	[amod, phenytoin, amod, losartan, prep_including, drugs, dobj, metabolizes, nsubj]	1.0
(glyburide,cyp2c9)	glyburide	cyp2c9	[nsubj, showed, prep_on]	1.0
(pgi2,pgis)	pgi2	pgis	[amod, synthase, appos]	1.0
(pgi2,pgis)	pgi2	pgis	[nn, synthase, appos]	1.0
(pge2,pges)	pge2	pges	[amod, synthase, appos]	1.0
(pge2,pges)	pge2	pges	[appos, activity, nn]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[prep_of, activity, amod]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[nsubj, decreased, dobj, activity, prep_of]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[nsubj, inhibits, dobj, activation, amod]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[prep_of, effect, dobj, examined, prep_on]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[nsubj, inhibited, dobj, activation, prep_of]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[nsubj, reduced, dobj, activity, prep_of]	1.0
(pitavastatin,nf-kappab)	pitavastatin	nf-kappab	[prep_on, activation, amod]	1.0
(glibenclamide,cftr)	glibenclamide	cftr	[appos, blocker, nn]	1.0
(glibenclamide,cftr)	glibenclamide	cftr	[amod, inhibition, prep_of]	1.0
(glibenclamide,cftr)	glibenclamide	cftr	[appos, blocker, prep_of]	1.0
(glibenclamide,cftr)	glibenclamide	cftr	[nsubj, inhibits, dobj]	1.0
(glibenclamide,cftr)	glibenclamide	cftr	[appos, inhibitor, amod]	1.0
(glibenclamide,cftr)	glibenclamide	cftr	[nsubj, blocks, dobj]	1.0
(genistein,ifn-gamma)	genistein	ifn-gamma	[partmod, followed, agent]	1.0
(atra,mef2c)	atra	mef2c	[nsubj, regulates, dobj, activity, amod]	1.0
(cyclosporine,statin)	cyclosporine	statin	[nsubj, increases, dobj, levels, amod]	1.0
(genistein,aromatase)	genistein	aromatase	[nsubj, increased, dobj, activity, amod]	1.0
(genistein,aromatase)	genistein	aromatase	[nsubj, inhibit, dobj]	1.0
(genistein,aromatase)	genistein	aromatase	[nsubj, stimulated, dobj, activity, amod]	1.0
(genistein,aromatase)	genistein	aromatase	[nsubj, increase, dobj, activity, amod]	1.0
(vardenafil,pde5)	vardenafil	pde5	[prep_such_as, inhibitors, nn]	1.0
(vardenafil,pde5)	vardenafil	pde5	[nsubj, inhibited, prep_by]	1.0
(vardenafil,pde5)	vardenafil	pde5	[appos, inhibitor, nn]	1.0
(vardenafil,pde5)	vardenafil	pde5	[amod, inhibitor, appos]	1.0
(vardenafil,pde5)	vardenafil	pde5	[dep, inhibitors, nn]	1.0
(vardenafil,pde5)	vardenafil	pde5	[nsubj, inhibitor, nn]	1.0
(vardenafil,pde5)	vardenafil	pde5	[amod, inhibitors, num]	1.0
(vardenafil,pde5)	vardenafil	pde5	[appos, inhibitor, amod]	1.0
(vardenafil,pde5)	vardenafil	pde5	[dep, inhibitors, num]	1.0
(vardenafil,pde5)	vardenafil	pde5	[amod, inhibitors, amod]	1.0
(vardenafil,pde5)	vardenafil	pde5	[nsubj, inhibitor, appos]	1.0
(vardenafil,pde5)	vardenafil	pde5	[dep, inhibitors, amod]	1.0
(vardenafil,pde5)	vardenafil	pde5	[nsubj, inhibitors, nn]	1.0
(vardenafil,pde5)	vardenafil	pde5	[appos, inhibitor, appos]	1.0
(vardenafil,pde5)	vardenafil	pde5	[nsubj, has, dobj, affinity, prep_for]	1.0
(lansoprazole,ho-1)	lansoprazole	ho-1	[amod, expression, nn]	1.0
(lansoprazole,ho-1)	lansoprazole	ho-1	[agent, induced, partmod, expression, nn]	1.0
(lansoprazole,ho-1)	lansoprazole	ho-1	[nsubj, increased, dobj, levels, nn]	1.0
(lansoprazole,ho-1)	lansoprazole	ho-1	[prep_by, expression, nn]	1.0
(noradrenaline,endothelin-1)	noradrenaline	endothelin-1	[prep_than, potent, nsubj]	1.0
(il-2,nf-kappab)	il-2	nf-kappab	[nsubj, increased, dobj, activity, amod]	1.0
(il-2,nf-kappab)	il-2	nf-kappab	[nn, gene, appos]	1.0
(il-2,nf-kappab)	il-2	nf-kappab	[nsubj, activate, dobj]	1.0
(arsenite,parp)	arsenite	parp	[prep_on, activity, nn]	1.0
(flutamide,lhrh)	flutamide	lhrh	[appos, agonist, nn]	1.0
(d-amphetamine,amph)	d-amphetamine	amph	[nn, sulfate, appos]	1.0
(d-amphetamine,amph)	d-amphetamine	amph	[amod, sulfate, appos]	1.0
(d-amphetamine,amph)	d-amphetamine	amph	[amod, treatment, appos]	1.0
(d-amphetamine,amph)	d-amphetamine	amph	[prep_of, concentrations, appos]	1.0
(d-amphetamine,amph)	d-amphetamine	amph	[amod, administration, appos]	1.0
(lovastatin,cyp3a4)	lovastatin	cyp3a4	[nsubj, substrates, prep_of]	1.0
(lovastatin,cyp3a4)	lovastatin	cyp3a4	[nsubjpass, metabolized, agent]	1.0
(lovastatin,cyp3a4)	lovastatin	cyp3a4	[nsubj, inhibited, dobj, activity, amod]	1.0
(topotecan,dlts)	topotecan	dlts	[prep_of, toxicities, appos]	1.0
(suramin,vegf)	suramin	vegf	[agent, affected, nsubjpass]	1.0
(hydroquinone,dt-diaphorase)	hydroquinone	dt-diaphorase	[prep_to, catalyzes, nsubj]	1.0
(dexamethasone,lactase)	dexamethasone	lactase	[nsubj, inhibits, dobj, activity, amod]	1.0
(dexamethasone,lactase)	dexamethasone	lactase	[amod, activities, nn]	1.0
(tamoxifen,heparanase)	tamoxifen	heparanase	[prep_on, expression, amod]	1.0
(tamoxifen,her-2)	tamoxifen	her-2	[nn, resistance, prep_in]	1.0
(risperidone,cyp2d6)	risperidone	cyp2d6	[nsubj, substrate, prep_for]	1.0
(risperidone,cyp2d6)	risperidone	cyp2d6	[nsubjpass, metabolized, agent]	1.0
(risperidone,cyp2d6)	risperidone	cyp2d6	[prep_of, metabolism, prep_in, involved, nsubjpass]	1.0
(staurosporine,hsp27)	staurosporine	hsp27	[agent, reduced, nsubjpass]	1.0
